county,station,date,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,sun,vis,clht,clamt
Mayo,BELMULLET,2000-09,139.5,13.82,12.58,11.48,13.68,86.25,1007.31,11.69,212.19,0.17,28670.83,238.55,5.96
Mayo,BELMULLET,2000-10,259.0,10.65,9.44,8.1,10.93,84.63,1001.54,17.09,233.28,0.14,22083.33,244.19,5.89
Mayo,BELMULLET,2000-11,149.8,7.69,6.74,5.56,9.14,86.67,995.07,14.52,231.26,0.06,24327.5,250.84,5.82
Mayo,BELMULLET,2000-12,145.9,6.18,5.48,4.54,8.64,89.36,997.66,12.31,167.54,0.07,23726.34,373.94,5.25
Mayo,BELMULLET,2001-01,67.1,4.86,4.08,2.93,7.65,87.66,1004.28,10.6,171.29,0.12,27024.19,458.97,4.51
Mayo,BELMULLET,2001-02,57.1,6.0,5.18,4.03,8.31,87.57,1015.97,11.83,181.16,0.13,27747.47,340.32,5.64
Mayo,BELMULLET,2001-03,72.9,6.07,5.06,3.64,8.08,84.92,999.71,11.82,140.6,0.15,27972.85,257.63,5.91
Mayo,BELMULLET,2001-04,78.1,8.44,7.36,6.03,9.5,85.28,1012.02,10.62,220.35,0.18,26016.53,249.09,6.05
Mayo,BELMULLET,2001-05,16.4,12.13,10.62,9.18,11.77,83.14,1019.5,8.33,199.93,0.32,28630.38,443.65,4.8
Mayo,BELMULLET,2001-06,66.8,12.82,11.41,10.06,12.51,83.85,1016.77,10.35,215.25,0.2,32390.28,192.75,6.42
Mayo,BELMULLET,2001-07,114.4,14.26,12.99,11.88,14.04,86.18,1014.1,10.06,198.21,0.2,29640.59,183.83,6.54
Mayo,BELMULLET,2001-08,118.9,14.83,13.66,12.7,14.78,87.54,1012.56,9.43,223.23,0.23,31098.66,296.87,5.77
Mayo,BELMULLET,2001-09,69.5,13.69,12.45,11.36,13.57,86.23,1016.16,9.16,208.04,0.17,29062.5,240.34,5.96
Mayo,BELMULLET,2001-10,126.0,12.53,11.46,10.45,12.75,87.48,1002.86,12.44,193.01,0.15,27021.77,353.4,5.28
Mayo,BELMULLET,2001-11,105.1,10.22,9.21,8.04,10.95,86.75,1023.25,12.22,230.39,0.06,22543.75,172.32,6.53
Mayo,BELMULLET,2001-12,89.4,6.34,5.33,3.95,8.29,85.0,1024.13,12.86,188.32,0.09,31240.59,460.16,4.34
Mayo,BELMULLET,2002-01,117.9,8.43,7.49,6.33,9.7,86.99,1007.65,18.37,196.47,0.07,20862.9,231.76,6.11
Mayo,BELMULLET,2002-02,170.0,7.85,6.72,5.24,9.02,84.05,1003.31,20.09,228.63,0.09,21882.44,226.66,6.05
Mayo,BELMULLET,2002-03,77.1,8.28,7.22,5.87,9.45,85.42,1012.52,14.95,183.83,0.16,24002.69,313.92,5.49
Mayo,BELMULLET,2002-04,63.6,9.37,7.92,6.17,9.62,81.29,1012.58,14.59,178.68,0.25,27954.17,377.8,5.13
Mayo,BELMULLET,2002-05,129.8,11.0,9.86,8.69,11.33,86.09,1006.58,11.93,198.53,0.21,28353.49,254.46,5.94
Mayo,BELMULLET,2002-06,145.8,12.41,11.29,10.21,12.52,86.8,1010.68,13.97,225.56,0.2,23940.69,147.86,6.51
Mayo,BELMULLET,2002-07,79.8,13.64,12.51,11.51,13.65,87.34,1014.86,9.83,237.7,0.17,27758.33,148.63,6.63
Mayo,BELMULLET,2002-08,75.5,14.66,13.67,12.85,14.95,89.33,1016.46,8.39,205.47,0.17,24254.44,217.35,6.21
Mayo,BELMULLET,2002-09,38.1,14.18,12.77,11.58,13.75,85.01,1020.04,9.85,135.69,0.24,31935.14,411.58,4.71
Mayo,BELMULLET,2002-10,168.7,10.16,9.08,7.91,10.91,86.39,1009.14,11.24,167.96,0.16,30730.78,326.72,5.46
Mayo,BELMULLET,2002-11,166.5,9.34,8.41,7.34,10.39,87.7,996.19,15.33,177.29,0.06,21702.08,240.47,5.96
Mayo,BELMULLET,2002-12,85.5,6.69,6.07,5.25,9.04,90.74,1010.96,9.68,148.66,0.05,21041.53,275.87,5.63
Mayo,BELMULLET,2003-01,84.8,6.44,5.44,4.0,8.44,84.94,1013.7,15.26,185.79,0.09,28139.78,348.85,5.28
Mayo,BELMULLET,2003-02,55.7,6.61,5.53,4.05,8.3,84.1,1012.21,14.82,192.5,0.13,25072.92,345.15,5.44
Mayo,BELMULLET,2003-03,93.4,8.49,7.23,5.7,9.27,83.3,1017.06,11.55,176.24,0.19,25258.06,390.49,4.92
Mayo,BELMULLET,2003-04,40.4,10.51,8.86,7.08,10.2,80.54,1013.7,9.05,160.46,0.28,23889.17,422.34,4.75
Mayo,BELMULLET,2003-05,125.2,10.86,9.53,8.09,10.97,83.58,1010.39,12.8,234.58,0.23,26919.35,230.35,5.95
Mayo,BELMULLET,2003-06,68.5,13.84,12.29,10.92,13.11,82.99,1010.61,14.41,196.83,0.25,33504.17,222.53,5.89
Mayo,BELMULLET,2003-07,118.7,14.98,13.91,13.05,15.08,88.57,1011.78,12.19,232.84,0.13,26554.7,120.61,6.73
Mayo,BELMULLET,2003-08,25.0,16.06,14.46,13.2,15.37,83.82,1019.16,9.65,173.25,0.25,37114.52,347.55,5.29
Mayo,BELMULLET,2003-09,95.2,13.99,12.59,11.32,13.58,84.46,1017.64,10.56,208.9,0.15,30095.83,247.2,5.83
Mayo,BELMULLET,2003-10,71.9,10.72,9.37,7.91,10.89,83.33,1016.04,10.34,180.46,0.15,29636.42,339.48,5.22
Mayo,BELMULLET,2003-11,166.0,9.58,8.41,7.04,10.24,84.57,1003.85,13.98,213.58,0.08,25024.31,291.48,5.63
Mayo,BELMULLET,2003-12,130.5,7.32,6.45,5.3,9.12,87.33,1015.87,12.62,181.47,0.06,24920.43,275.13,5.75
Mayo,BELMULLET,2004-01,146.7,7.44,6.41,5.05,8.9,85.31,1004.85,14.64,218.48,0.06,21734.27,221.62,6.09
Mayo,BELMULLET,2004-02,65.0,6.82,5.66,4.07,8.39,83.2,1021.04,13.33,168.33,0.14,29938.22,361.57,5.03
Mayo,BELMULLET,2004-03,97.9,7.8,6.56,4.98,8.83,82.78,1015.37,14.75,203.52,0.22,27665.32,402.31,4.95
Mayo,BELMULLET,2004-04,87.4,9.48,8.25,6.82,10.01,83.9,1011.21,14.1,213.43,0.22,25860.83,240.12,5.75
Mayo,BELMULLET,2004-05,36.4,11.5,10.01,8.52,11.22,82.66,1017.36,11.1,197.7,0.3,33763.44,338.55,5.35
Mayo,BELMULLET,2004-06,86.6,13.7,12.42,11.27,13.48,85.78,1016.34,12.58,227.18,0.21,26322.22,168.11,6.32
Mayo,BELMULLET,2004-07,77.5,14.17,12.85,11.72,13.83,85.6,1015.08,10.2,223.49,0.23,33872.45,208.41,6.01
Mayo,BELMULLET,2004-08,55.6,15.6,14.22,13.13,15.23,85.74,1008.26,9.98,189.1,0.22,33260.35,275.92,5.6
Mayo,BELMULLET,2004-09,123.8,14.27,13.05,11.99,14.19,86.7,1014.28,14.54,208.96,0.14,20160.28,232.45,6.08
